name,brand,price,rating,search_input
men regular fit regular shorts,ARISE,494,4.1,Shorts men
men typography shorts,HRX by Hrithik Roshan,419,4.1,Shorts men
men shorts,Mast & Harbour,949,4.1,Shorts men
men slim fit chino shorts,HIGHLANDER,636,4.1,Shorts men
men mid-rise outdoor sports sustainable shorts,Puma,859,4.2,Shorts men
men printed shorts,Free Authority,786,4.5,Shorts men
men relaxed-fit shorts,U.S. Polo Assn.,854,4.3,Shorts men
men cotton cargo shorts,HIGHLANDER,791,4.3,Shorts men
men solid lounge shorts,max,399,4.4,Shorts men
men rapid dry training shorts,HRX by Hrithik Roshan,587,0.0,Shorts men
men regular fit sweatshorts,H&M,679,4.5,Shorts men
men rapid dry shorts,HRX by Hrithik Roshan,587,0.0,Shorts men
men regular fit chino shorts,Mast & Harbour,719,4.3,Shorts men
men regular fit sweatshorts,H&M,799,4.2,Shorts men
men rapid dry shorts,HRX by Hrithik Roshan,515,0.0,Shorts men
men regular fit chino shorts,Mast & Harbour,759,4.2,Shorts men
men slim fit cotton shorts,Roadster,899,4.0,Shorts men
men mid-rise sports shorts,Shiv Naresh,463,0.0,Shorts men
rapid-dry training shorts,HRX by Hrithik Roshan,419,4.3,Shorts men
mid-rise shorts,Roadster,798,4.4,Shorts men
men solid sports shorts,Jockey,799,4.5,Shorts men
batman printed mid-rise shorts,Free Authority,891,0.0,Shorts men
men printed lounge shorts,Van Heusen,747,4.4,Shorts men
men mid-rise slim fit shorts,Snitch,935,4.6,Shorts men
men slim fit regular shorts,The Indian Garage Co,612,4.4,Shorts men
men regular fit regular shorts,INVICTUS,499,4.2,Shorts men
rapid-dry men sports shorts,HRX by Hrithik Roshan,584,4.1,Shorts men
men camouflage slim fit cargo shorts,Dennis Lingo,779,4.5,Shorts men
men regular fit sustainable chino shorts,Harvard,599,4.3,Shorts men
men mid-rise shorts,Shiv Naresh,657,0.0,Shorts men
solid regular shorts,Roadster,721,4.2,Shorts men
men plus size cotton shorts,Rute,900,4.5,Shorts men
men rapid dry training shorts,HRX by Hrithik Roshan,399,4.4,Shorts men
men slim fit denim shorts,Roadster,599,3.9,Shorts men
men cargo shorts,V-Mart,664,3.0,Shorts men
printed sports shorts,HRX by Hrithik Roshan,532,4.2,Shorts men
men slim fit rapid-dry shorts,Technosport,459,0.0,Shorts men
men washed slim fit shorts,The Indian Garage Co,664,4.1,Shorts men
men slim fit shorts,Roadster,899,4.0,Shorts men
men cotton shorts,HIGHLANDER,399,4.3,Shorts men
men rapid-dry training shorts,HRX by Hrithik Roshan,467,0.0,Shorts men
men pure cotton chino shorts,Roadster,675,4.2,Shorts men
men pure cotton regular shorts,Mast & Harbour,467,3.9,Shorts men
men cotton shorts,Roadster,526,0.0,Shorts men
men self design running shorts,HRX by Hrithik Roshan,599,4.2,Shorts men
men slim fit sports shorts,Technosport,449,0.0,Shorts men
men mid-rise slim fit shorts,Snitch,935,4.4,Shorts men
men rapid dry training shorts,HRX by Hrithik Roshan,635,4.6,Shorts men
men cotton shorts,Roadster,645,4.2,Shorts men
men slim fit denim shorts,Roadster,599,4.1,Shorts men
men slim fit mid-rise regular shorts,HIGHLANDER,412,4.3,Shorts men
men dry-fit running shorts,NEVER LOSE,587,4.0,Shorts men
men pure cotton chino shorts,Indian Terrain,797,4.3,Shorts men
men slim washed denim shorts,Roadster,639,4.7,Shorts men
men rapid-dry training shorts,HRX by Hrithik Roshan,545,4.6,Shorts men
men lifestyle shorts,HRX by Hrithik Roshan,311,3.4,Shorts men
men regular fit shorts,Mast & Harbour,699,4.1,Shorts men
pack 2 lounge shorts,HIGHLANDER,448,3.8,Shorts men
men typography shorts,HRX by Hrithik Roshan,439,4.1,Shorts men
men cotton lounge shorts,Van Heusen,809,4.6,Shorts men
men regular fit chino shorts,Roadster,543,4.4,Shorts men
men slim fit denim shorts,Roadster,845,4.1,Shorts men
men cotton denim shorts,HIGHLANDER,713,3.9,Shorts men
men lounge shorts,max,499,0.0,Shorts men
men mid-rise shorts,U.S. Polo Assn.,764,4.7,Shorts men
men lounge shorts,XYXX,629,4.3,Shorts men
men regular fit sports shorts,Puma,899,4.3,Shorts men
men sports shorts,Slazenger,319,0.0,Shorts men
men cotton slim fit shorts,Roadster,899,4.3,Shorts men
men regular fit shorts,ARISE,499,4.2,Shorts men
men pack 2 checked shorts,HIGHLANDER,432,4.0,Shorts men
men mid-rise cotton shorts,XYXX,749,0.0,Shorts men
men slim fit regular shorts,HIGHLANDER,624,4.1,Shorts men
rapid-dry training shorts,HRX by Hrithik Roshan,383,0.0,Shorts men
men printed lounge shorts,The Indian Garage Co,402,4.1,Shorts men
men regular fit sweatshorts,H&M,679,4.4,Shorts men
men loose fit chino shorts,BAESD,899,3.8,Shorts men
men cargo shorts,Hypernation,851,4.8,Shorts men
men mid-rise regular shorts,Ajile by Pantaloons,599,0.0,Shorts men
men talora shorts,Roadster,713,4.4,Shorts men
men slim-fit denim shorts,Roadster,815,4.3,Shorts men
men cotton sports shorts,Kappa,714,4.7,Shorts men
men rapid dry training shorts,HRX by Hrithik Roshan,685,0.0,Shorts men
men pure cotton lounge shorts,Van Heusen,663,4.5,Shorts men
men slim fit running shorts,Alcis,489,4.6,Shorts men
men slim fit denim shorts,Roadster,839,4.8,Shorts men
men running sports shorts,Dpassion,479,4.5,Shorts men
men slim fit regular shorts,IVOC,825,4.2,Shorts men
men striped slim fit regular shorts,The Indian Garage Co,575,4.2,Shorts men
men running sports shorts,HRX by Hrithik Roshan,584,3.9,Shorts men
men cotton solid shorts,Mast & Harbour,779,4.1,Shorts men
men regular shorts,Fame Forever by Lifestyle,999,0.0,Shorts men
men slim fit chino shorts,HIGHLANDER,699,4.1,Shorts men
men typography shorts,HRX by Hrithik Roshan,467,3.9,Shorts men
men regular fit chino shorts,Mast & Harbour,799,4.1,Shorts men
men regular fit shorts,PETER ENGLAND UNIVERSITY,959,0.0,Shorts men
men mid-rise sports shorts,bigbanana,591,4.3,Shorts men
men printed detail shorts,HRX by Hrithik Roshan,399,4.2,Shorts men
men rapid dry training shorts,HRX by Hrithik Roshan,515,0.0,Shorts men
men lifestyle shorts,HRX by Hrithik Roshan,359,3.8,Shorts men
men typography training gym shorts,HRX by Hrithik Roshan,519,4.1,Shorts men
men slim fit  sports shorts,Technosport,439,4.3,Shorts men
men solid lounge shorts,Jockey,829,4.2,Shorts men
men black lounge shorts,XYXX,629,4.3,Shorts men
men oversized loose fit shorts,Styli,576,4.4,Shorts men
men antimicrobial sports short,Technosport,435,4.4,Shorts men
men pure cotton shorts,Jockey,999,4.6,Shorts men
men regular fit cargo shorts,Mast & Harbour,999,4.1,Shorts men
men typography shorts,HRX by Hrithik Roshan,419,4.0,Shorts men
men slim fit chino shorts,FUBAR,509,2.0,Shorts men
men slim fit sports shorts,KETCH,432,4.4,Shorts men
men printed lounge shorts,Van Heusen,764,4.2,Shorts men
men slim fit denim shorts,Llak Jeans,713,4.4,Shorts men
men regular fit sports shorts,Pepe Jeans,519,4.3,Shorts men
men cotton regular shorts,Mast & Harbour,819,4.7,Shorts men
men solid regular shorts,Levis,917,3.6,Shorts men
men iyar knit lounge shorts,U.S. Polo Assn.,854,4.1,Shorts men
men pure cotton regular shorts,Mast & Harbour,759,4.3,Shorts men
men relaxed fit shorts,U.S. Polo Assn.,764,4.2,Shorts men
men cotton lounge shorts,AMUL COMFY,493,4.5,Shorts men
men low-rise shorts,Jack & Jones,629,4.3,Shorts men
men lounge shorts,max,399,4.3,Shorts men
men typography sports shorts,HRX by Hrithik Roshan,549,3.9,Shorts men
men mid-rise cotton shorts,SF JEANS by Pantaloons,999,0.0,Shorts men
men linen chino shorts,Linen Club,979,4.9,Shorts men
men's running sports shorts,Dpassion,479,4.3,Shorts men
men mid-rise cotton shorts,Kappa,679,4.9,Shorts men
men cotton sports shorts,Octave,999,0.0,Shorts men
men chino shorts,Roadster,764,4.3,Shorts men
men printed lounge shorts,Mast & Harbour,479,4.3,Shorts men
men plus size short shorts,Rute,900,4.8,Shorts men
men mid-rise shorts,Fame Forever by Lifestyle,849,0.0,Shorts men
men antimicrobial sports short,Technosport,435,3.9,Shorts men
men speed wick zr shorts,Reebok,899,4.2,Shorts men
men pure cotton chino shorts,Roadster,675,0.0,Shorts men
men slim fit cargo shorts,Urban Ranger by pantaloons,799,0.0,Shorts men
men slim fit running shorts,Styli,594,0.0,Shorts men
men washed denim shorts,Flying Machine,1079,4.1,Shorts men
men printed slim fit shorts,KETCH,599,3.5,Shorts men
men loose fit running shorts,Styli,576,0.0,Shorts men
men chino shorts,Roadster,713,4.0,Shorts men
men cargo shorts,Hypernation,851,3.9,Shorts men
men pack 2 sports shorts,ARDEUR,499,3.9,Shorts men
men colourblocked shorts,HRX by Hrithik Roshan,461,4.0,Shorts men
men pure cotton shorts,The Souled Store,799,0.0,Shorts men
men solid lounge shorts,U.S. Polo Assn.,664,4.4,Shorts men
men cotton lounge shorts,TOM BURG,449,0.0,Shorts men
men washed denim shorts,HERE&NOW,760,4.9,Shorts men
men mid-rise casual shorts,Van Heusen Flex,943,4.2,Shorts men
shorts,Kappa,599,4.2,Shorts men
men mid rise loose fit shorts,Dennis Lingo,849,0.0,Shorts men
men solid pure cotton shorts,Levis,815,4.5,Shorts men
men pure cotton lounge capris,Van Heusen,809,4.6,Shorts men
